"","ensembl_gene_id","p_val","avg_logFC","pct.1(treatment)","pct.2(control)","p_val_adj","mgi_symbol","description"
"1","ENSMUSG00000000056",8.58742565224015e-06,133.635621089552,0.148,1,0.0171748513044803,"Narf","nuclear prelamin A recognition factor [Source:MGI Symbol;Acc:MGI:1914858]"
"2","ENSMUSG00000000078",0.000462547691861439,172.35419551662,0.259,1,0.925095383722879,"Klf6","Kruppel-like factor 6 [Source:MGI Symbol;Acc:MGI:1346318]"
"3","ENSMUSG00000000127",0.000370866003287116,55.0692463563049,0.148,0.2,0.741732006574232,"Fer","fer (fms/fps related) protein kinase [Source:MGI Symbol;Acc:MGI:105917]"
"4","ENSMUSG00000000184",0.132444814986569,302.553460533944,0.444,0.867,1,"Ccnd2","cyclin D2 [Source:MGI Symbol;Acc:MGI:88314]"
"5","ENSMUSG00000000194",1.15459916450584e-06,-309.431173622051,0.259,0.067,0.00230919832901168,"Gpr107","G protein-coupled receptor 107 [Source:MGI Symbol;Acc:MGI:2139054]"
"6","ENSMUSG00000000439",0.000194213932563527,3.0976715276624,0.037,0.2,0.388427865127055,"Mkrn2","makorin, ring finger protein, 2 [Source:MGI Symbol;Acc:MGI:1914277]"
"7","ENSMUSG00000000560",0.000221379541367917,-240.244548441574,0.074,0.2,0.442759082735834,"Gabra2","gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2 [Source:MGI Symbol;Acc:MGI:95614]"
"8","ENSMUSG00000000579",3.11589355972042e-06,199.204343431267,0.519,0.133,0.00623178711944084,"Dynlt1c","dynein light chain Tctex-type 1C [Source:MGI Symbol;Acc:MGI:3807476]"
"9","ENSMUSG00000000594",0.00440140904634343,119.169200494042,0.444,1,1,"Gm2a","GM2 ganglioside activator protein [Source:MGI Symbol;Acc:MGI:95762]"
"10","ENSMUSG00000000632",0.759839545384137,-342.736633642791,0.259,0.533,1,"Sez6","seizure related gene 6 [Source:MGI Symbol;Acc:MGI:104745]"
"11","ENSMUSG00000000693",6.13675717278663e-10,-2.41224968362296,0,1,1.22735143455733e-06,"Loxl3","lysyl oxidase-like 3 [Source:MGI Symbol;Acc:MGI:1337004]"
"12","ENSMUSG00000000759",3.52879235622758e-07,-54.0286409417374,0.111,0.067,0.000705758471245515,"Tubgcp3","tubulin, gamma complex associated protein 3 [Source:MGI Symbol;Acc:MGI:2183752]"
"13","ENSMUSG00000000805",0.166853857472163,13.1601672304444,0.037,0.4,1,"Car4","carbonic anhydrase 4 [Source:MGI Symbol;Acc:MGI:1096574]"
"14","ENSMUSG00000000838",0.00335008668292509,-445.254505425565,0.37,0.267,1,"Fmr1","fragile X mental retardation 1 [Source:MGI Symbol;Acc:MGI:95564]"
"15","ENSMUSG00000000861",0.93576018506671,24.4614678012662,0.444,0.6,1,"Bcl11a","B cell CLL/lymphoma 11A (zinc finger protein) [Source:MGI Symbol;Acc:MGI:106190]"
"16","ENSMUSG00000000884",1.91299218062389e-08,66.0600753798289,0.037,1,3.82598436124779e-05,"Gnb1l","guanine nucleotide binding protein (G protein), beta polypeptide 1-like [Source:MGI Symbol;Acc:MGI:1338057]"
"17","ENSMUSG00000000957",1.14626065518601e-05,-8.15249486491987,0.037,0.867,0.0229252131037201,"Mmp14","matrix metallopeptidase 14 (membrane-inserted) [Source:MGI Symbol;Acc:MGI:101900]"
"18","ENSMUSG00000000982",6.13675717278663e-10,-31.4880871326024,0,1,1.22735143455733e-06,"Ccl3","chemokine (C-C motif) ligand 3 [Source:MGI Symbol;Acc:MGI:98260]"
"19","ENSMUSG00000001025",6.55114307309544e-06,127.337048398526,0.037,0.133,0.0131022861461909,"S100a6","S100 calcium binding protein A6 (calcyclin) [Source:MGI Symbol;Acc:MGI:1339467]"
"20","ENSMUSG00000001039",0.000297564267100775,-93.0406095129092,0.148,0.2,0.595128534201551,"B9d1","B9 protein domain 1 [Source:MGI Symbol;Acc:MGI:1351471]"
"21","ENSMUSG00000001052",0.00272243252532105,4.6303780266399,0.111,0.8,1,"Sec24b","Sec24 related gene family, member B (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2139764]"
"22","ENSMUSG00000001056",0.00657017502700055,-86.9260997549808,0.519,0.333,1,"Nhp2","NHP2 ribonucleoprotein [Source:MGI Symbol;Acc:MGI:1098547]"
"23","ENSMUSG00000001123",1.34856500079063e-08,-1.2586013318932,0.037,1,2.69713000158125e-05,"Lgals9","lectin, galactose binding, soluble 9 [Source:MGI Symbol;Acc:MGI:109496]"
"24","ENSMUSG00000001134",7.5099096971935e-06,428.412825351076,0.148,1,0.015019819394387,"Uxt","ubiquitously expressed prefoldin like chaperone [Source:MGI Symbol;Acc:MGI:1277988]"
"25","ENSMUSG00000001211",2.14705082555876e-05,-291.800342542056,0.148,0.133,0.0429410165111752,"Agpat3","1-acylglycerol-3-phosphate O-acyltransferase 3 [Source:MGI Symbol;Acc:MGI:1336186]"
