"","ensembl_gene_id","p_val","avg_logFC","pct.1(treatment)","pct.2(control)","p_val_adj","mgi_symbol","description"
"1","ENSMUSG00000000056",0.029259074541207,-61.283728808025,0.042,0.286,1,"Narf","nuclear prelamin A recognition factor [Source:MGI Symbol;Acc:MGI:1914858]"
"2","ENSMUSG00000000078",0.144635666867637,388.432205670181,0.625,1,1,"Klf6","Kruppel-like factor 6 [Source:MGI Symbol;Acc:MGI:1346318]"
"3","ENSMUSG00000000127",0.132967785649189,71.0564050489139,0.083,0.714,1,"Fer","fer (fms/fps related) protein kinase [Source:MGI Symbol;Acc:MGI:105917]"
"4","ENSMUSG00000000184",0.020360273382774,279.155048215828,0.625,0.286,1,"Ccnd2","cyclin D2 [Source:MGI Symbol;Acc:MGI:88314]"
"5","ENSMUSG00000000194",0.407855013118249,243.097675010342,0.375,0.714,1,"Gpr107","G protein-coupled receptor 107 [Source:MGI Symbol;Acc:MGI:2139054]"
"6","ENSMUSG00000000439",7.67474514228863e-05,128.467286224757,0.125,1,0.153494902845773,"Mkrn2","makorin, ring finger protein, 2 [Source:MGI Symbol;Acc:MGI:1914277]"
"7","ENSMUSG00000000560",0.000203063764528032,2.00275852881283,0.042,0.143,0.406127529056065,"Gabra2","gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2 [Source:MGI Symbol;Acc:MGI:95614]"
"8","ENSMUSG00000000579",0.212734915319366,12.6642378744519,0.333,0.857,1,"Dynlt1c","dynein light chain Tctex-type 1C [Source:MGI Symbol;Acc:MGI:3807476]"
"9","ENSMUSG00000000594",0.000766187101466613,250.646330644226,0.208,1,1,"Gm2a","GM2 ganglioside activator protein [Source:MGI Symbol;Acc:MGI:95762]"
"10","ENSMUSG00000000632",0.00046672511286533,74.9460104226306,0.125,0.143,0.933450225730659,"Sez6","seizure related gene 6 [Source:MGI Symbol;Acc:MGI:104745]"
"11","ENSMUSG00000000759",0.000455176400887771,-33.4291143234099,0.083,0.143,0.910352801775542,"Tubgcp3","tubulin, gamma complex associated protein 3 [Source:MGI Symbol;Acc:MGI:2183752]"
"12","ENSMUSG00000000805",0.217798481229535,306.827173909936,0.542,1,1,"Car4","carbonic anhydrase 4 [Source:MGI Symbol;Acc:MGI:1096574]"
"13","ENSMUSG00000000838",0.0284857110613511,48.8625576098687,0.125,0.286,1,"Fmr1","fragile X mental retardation 1 [Source:MGI Symbol;Acc:MGI:95564]"
